date,turn,adjust_factor,instrument,open,volume,low,deal_number,close,high,amount
2021-03-08,0.5121027225611129,111.04871,000001.SZA,2491.933,99377397.0,2385.3264,100262.0,2398.652,2519.6953,2189190957.0
2021-03-09,0.7017997325249576,111.04871,000001.SZA,2407.5361,136189533.0,2285.3826,114479.0,2315.3657,2434.1877,2882931927.0
2021-03-10,0.5923070764812405,111.04871,000001.SZA,2314.2551,114941657.0,2252.0679,95463.0,2265.3938,2322.0286,2356185003.0
2021-03-11,0.5403857867783313,111.04871,000001.SZA,2285.3826,104865938.99999999,2283.1616,92838.0,2362.006,2374.2214,2213107787.0
2021-03-12,0.3592751835019803,111.04871,000001.SZA,2373.111,69720060.0,2354.2327,64701.0,2385.3264,2409.757,1494219075.0
2021-03-15,0.49405381338568133,111.04871,000001.SZA,2376.4424,95874870.0,2344.2383,83319.0,2398.652,2456.3975,2077984893.0
2021-03-16,0.48422972742985815,111.04871,000001.SZA,2398.652,93968432.0,2362.006,75591.0,2405.3152,2455.287,2038470660.0
2021-03-17,0.4233221908781261,111.04871,000001.SZA,2381.9949,82148865.0,2320.9182,74782.0,2354.2327,2393.0999,1738185857.0
2021-03-18,0.3563943833727186,111.04871,000001.SZA,2365.3376,69161019.0,2332.023,89858.0,2413.0886,2413.0886,1483801548.0
2021-03-19,0.7861700362979575,111.04871,000001.SZA,2390.879,152562227.0,2262.0623,134749.0,2273.1672,2404.2046,3159181042.0
2021-03-22,0.7478143052204107,111.04871,000001.SZA,2282.051,145119008.0,2279.83,123533.0,2393.0999,2393.0999,3087549484.0
2021-03-23,0.3519076678413968,111.04871,000001.SZA,2395.3208,68290338.0,2327.581,75953.0,2357.5642,2404.2046,1448043613.0
2021-03-24,0.43805824251520115,111.04871,000001.SZA,2355.3433,85008507.0,2270.9463,84083.0,2279.83,2363.1167,1757688572.0
2021-03-25,0.2538761070252075,111.04871,000001.SZA,2285.3826,49266574.0,2265.3938,58686.0,2304.2607,2313.1448,1017166048.0
2021-03-26,0.4236413797047177,111.04871,000001.SZA,2314.2551,82210806.0,2305.3713,69195.0,2347.5698,2376.4424,1733412579.0
2021-03-29,0.4048627333774406,111.04871,000001.SZA,2363.1167,78566668.0,2354.2327,72297.0,2386.4368,2404.2046,1684397866.0
2021-03-30,0.3806369965937642,111.04871,000001.SZA,2374.2214,73865481.0,2355.3433,69672.0,2435.2983,2435.2983,1601238499.0
2021-03-31,0.40041116206073196,111.04871,000001.SZA,2417.5305,77702807.0,2398.652,78167.0,2444.1821,2450.8452,1699922183.0
2021-04-01,0.28056058356370606,111.04871,000001.SZA,2451.9556,54444898.0,2387.5474,64556.0,2418.6409,2455.287,1183868023.0
2021-04-02,0.2994387673762424,111.04871,000001.SZA,2409.757,58108352.0,2372.0005,53540.0,2387.5474,2413.0886,1249405387.0
2021-04-06,0.20669272123211277,111.04871,000001.SZA,2393.0999,40110282.0,2388.6577,48843.0,2407.5361,2453.0662,873387016.0
2021-04-07,0.2667273723713337,111.04871,000001.SZA,2429.7458,51760459.0,2366.448,67685.0,2403.0942,2435.2983,1116774452.0
2021-04-08,0.19737933946008043,111.04871,000001.SZA,2383.1055,38302950.0,2368.669,45319.0,2394.2102,2413.0886,825170840.0
2021-04-09,0.20558864666353047,111.04871,000001.SZA,2410.8677,39896028.0,2340.907,45422.0,2365.3376,2411.978,849870878.0
2021-04-12,0.3064777207019672,111.04871,000001.SZA,2388.6577,59474314.0,2290.935,64188.0,2298.7083,2388.6577,1240067319.0
2021-04-13,0.2576061552484421,111.04871,000001.SZA,2300.9294,49990418.0,2286.493,47137.0,2307.5923,2318.697,1036992692.0
2021-04-14,0.276948000497672,111.04871,000001.SZA,2308.7026,53743849.0,2267.6147,42910.0,2295.377,2325.36,1113001541.0
2021-04-15,0.37919940239788075,111.04871,000001.SZA,2305.3713,73586505.0,2229.8582,72705.0,2260.952,2306.4817,1494016040.0
2021-04-16,0.3761761805965547,111.04871,000001.SZA,2260.952,72999826.0,2199.875,64429.0,2249.847,2268.725,1466509057.0
2021-04-19,0.5731715411698778,111.04871,000001.SZA,2224.3057,111228262.00000001,2210.98,91455.0,2348.6802,2358.6746,2304021478.0
2021-04-20,0.4301676191334993,111.04871,000001.SZA,2340.907,83477272.0,2323.1392,83870.0,2408.6465,2437.5193,1798249024.0
2021-04-21,0.8230031210883905,111.04871,000001.SZA,2476.3862,159709965.0,2475.276,153323.0,2555.231,2575.2197,3644577541.0
2021-04-22,0.427550436685611,111.04871,000001.SZA,2575.2197,82969388.0,2529.6897,96112.0,2551.8994,2579.6616,1905208911.0
2021-04-23,0.4242196050973174,111.04871,000001.SZA,2589.656,82323015.0,2561.8938,92091.0,2586.3245,2626.302,1920413502.0
2021-04-26,0.4495664783989286,111.04871,000001.SZA,2650.7327,87241767.0,2543.0156,92915.0,2547.4575,2690.7102,2037109597.0
2021-04-27,0.2424185056066984,111.04871,000001.SZA,2548.5679,47043140.0,2538.5735,53803.0,2547.4575,2575.2197,1083043579.0
